p1,p1_units,d1_sample_idx,d1,p2,p2_units,mean_cost,std_cost,cv_pct,min_cost,max_cost,median_cost,q25_cost,q75_cost
6,300,42,71.60157957893274,4,200,37249.50580089323,3490.8555325377847,9.371548581603129,29750.528175640033,44239.713406974384,37267.25110067468,34929.88198707026,39550.98370781221
6,300,42,71.60157957893274,5,250,40894.82390955297,3319.4413104758064,8.117020671900704,33200.52817564003,47627.21902307629,41239.60968139657,38527.16910550932,42969.71085038816
6,300,42,71.60157957893274,6,300,44285.21947567062,3087.083321897056,6.970911194406602,36650.52817564003,49564.713406974384,44730.29233311145,42012.599394476485,46505.633091507436
6,300,42,71.60157957893274,7,350,47202.45550371918,2613.077864313556,5.535893919984027,40100.52817564003,51964.713406974384,47678.73491117236,45762.82352745478,48913.0849139677
6,300,42,71.60157957893274,8,400,49868.03400501323,2359.498088221147,4.731484076520736,43550.52817564003,54364.713406974384,50078.73491117236,48343.47503270904,51367.00121647218
6,300,42,71.60157957893274,9,450,52350.77492600849,2189.746294367053,4.182834537716004,47201.78597238547,56764.713406974384,52512.32557648913,50752.16910550932,53703.691683651894
6,300,42,71.60157957893274,10,500,54634.68089093239,2171.366863075807,3.9743379620181596,50126.78597238547,59779.12952247057,54806.073818380384,53004.635509850785,56031.8858444411
6,300,43,109.49121290399738,1,50,24417.84204832711,3432.270600514839,14.056404303548959,16093.823041741722,31849.338243834824,24322.77915784879,21643.76336721547,26839.44309071408
6,300,43,109.49121290399738,2,100,27580.922018330126,3592.459055929255,13.025159396563055,18041.561224844685,35299.33824383482,27558.492061439676,25110.473191590456,29774.375223774266
6,300,43,109.49121290399738,3,150,31010.18970299818,3738.330251135651,12.0551673077131,20823.47328287521,38749.33824383482,31222.700780434003,28346.94742595417,33093.53679986374
6,300,43,109.49121290399738,4,200,34499.27705068335,3640.738141174305,10.55308531777535,23768.16822123658,42199.33824383482,34426.76852120819,31810.80341682856,36652.002777225825
6,300,43,109.49121290399738,5,250,38065.406418434715,3821.2683197949823,10.038690452400841,26943.16822123658,45649.33824383482,38151.376943239055,35817.09046187892,40570.21726975058
6,300,43,109.49121290399738,6,300,41836.38394975876,3646.093326801436,8.715125406583951,30275.928301015065,48574.33824383482,42144.4449789341,39411.72223184065,44060.48880748151
6,300,43,109.49121290399738,7,350,44856.107477778634,3441.4406314688413,7.672178494698195,33725.92830101506,50974.33824383482,45113.150069054696,42773.19932343864,47439.38432962643
6,300,43,109.49121290399738,8,400,47787.82624887299,3023.980123335454,6.327929853069579,37175.92830101506,52986.93146370997,48537.99146723273,46129.67569397506,49762.327956347544
6,300,43,109.49121290399738,9,450,50412.577121340546,2696.5406709563895,5.34894430107382,40013.53505221144,55386.93146370997,50860.18595491235,49195.81440103762,52136.16552980522
6,300,43,109.49121290399738,10,500,52963.536448582934,2400.8965604766718,4.533112253196055,42888.53505221144,57786.93146370997,53095.78082109058,51654.22692433564,54562.327956347544
6,300,44,113.2172675765255,1,50,24018.464019540243,3108.3919924031293,12.941676827770063,16243.954837132396,32187.49578453975,24404.72702268381,21254.80049097614,26088.338313677406
6,300,44,113.2172675765255,2,100,27144.58799675718,3353.362115566775,12.353704229982727,18868.954837132394,35637.495784539744,27833.669455605428,24270.164674148957,29608.586913103205
6,300,44,113.2172675765255,3,150,30331.50283144667,3470.7738702061088,11.442802189833234,21689.247000628264,39380.83216555912,30755.698247788605,27445.164674148957,32751.06379147892
6,300,44,113.2172675765255,4,200,33652.864374201854,3721.568220615301,11.058696755299795,24764.442180379476,42830.83216555912,34205.44555888917,30660.38829727047,36495.29472720113
6,300,44,113.2172675765255,5,250,36710.27546584079,3767.42081990785,10.262578452764446,26915.31440470718,46280.83216555912,37140.449792028085,33824.43398311453,38920.03391029311
6,300,44,113.2172675765255,6,300,40312.15544440702,3741.857117333955,9.282205518616363,30110.75997043983,48680.83216555912,40621.25726256662,37723.970577298765,42955.70250795179
6,300,44,113.2172675765255,7,350,43921.330069449774,3529.9906930931666,8.037076034608779,33560.75997043983,51655.83216555912,44513.81551721823,41632.19388348744,46405.70250795179
6,300,44,113.2172675765255,8,400,46984.96986452677,3265.331027207657,6.949735280500738,37010.75997043983,53480.83216555912,47953.33081744492,45082.19388348744,49305.31597464745
6,300,44,113.2172675765255,9,450,49729.98127377143,2968.4124929144177,5.969060146177889,40460.75997043983,56455.83216555912,50151.71901924694,48114.67579568521,51695.5378580822
6,300,44,113.2172675765255,10,500,52215.181694030325,2804.5070142833297,5.371056699021244,43910.75997043983,58855.83216555912,52508.206899449026,50575.671508913576,54088.78391029311
6,300,45,98.9999080400384,1,50,26173.275090150903,3206.130759986087,12.249635358750215,19533.70821639659,37783.98569633703,25753.603618546833,23935.16017145572,28198.91199342908
6,300,45,98.9999080400384,2,100,29121.764789860972,3451.4281906141514,11.851713711443065,21883.708216396586,41233.98569633703,28556.41176250539,26393.784476687677,31424.071119367134
6,300,45,98.9999080400384,3,150,32618.39415710893,3622.158983060108,11.104651460196688,25550.297247929015,44683.98569633703,31874.42129622754,29903.142282685618,35203.543631789275
6,300,45,98.9999080400384,4,200,35975.37235166559,3696.6606401112695,10.275531282833605,28281.730327194975,47608.98569633703,35282.38309824143,33452.32020275311,38379.95989943009
6,300,45,98.9999080400384,5,250,39181.995898302026,3819.9316118805586,9.749201193822026,31274.306619947445,50008.98569633703,38738.4214072107,36437.51026477968,41812.80664668723
6,300,45,98.9999080400384,6,300,42395.79921146201,3805.8713290131773,8.977001023215132,33599.30661994745,52408.98569633703,41924.55971153547,39742.455044055234,45133.60865440982
6,300,45,98.9999080400384,7,350,45415.16630915695,3441.7314701615883,7.578374692569693,38174.30661994745,54808.98569633703,45040.41910495733,42726.12656841047,48474.47339450542
6,300,45,98.9999080400384,8,400,48276.86204357888,2917.8832190330695,6.044061472759218,40499.30661994745,57208.98569633703,48411.81266754598,46315.43305997917,50396.24819443884
6,300,45,98.9999080400384,9,450,50938.44211957963,2562.799959340606,5.031170669343108,45074.30661994745,59608.98569633703,50811.81266754598,49660.84064607136,52806.43988803978
6,300,45,98.9999080400384,10,500,53395.15396910309,2289.8237721882942,4.288448673662955,48524.30661994745,59307.59086920526,53226.66048630203,52099.918736165506,54784.68494911515
6,300,46,87.28978273613797,1,50,25988.030761083726,3393.430985608656,13.057668804556805,16123.033157243364,35244.014252649766,25976.884213886246,23204.960899601403,28873.07633780248
6,300,46,87.28978273613797,2,100,29266.084320703856,3511.71993016699,11.999281802392252,18748.033157243364,38694.014252649766,28916.93470940055,26901.226963325713,32407.33896704492
6,300,46,87.28978273613797,3,150,32818.70578224845,3325.068963921862,10.131627328584003,26033.360200452924,41569.014252649766,32352.88006014668,30096.826269434194,35881.29299156119
6,300,46,87.28978273613797,4,200,36184.60072176361,3502.401587921843,9.679260011332078,29293.43513640295,45019.014252649766,35878.61744550314,33426.18634848339,39588.627857598374
6,300,46,87.28978273613797,5,250,39806.54962923322,3565.5562582034268,8.957210035568986,32743.435136402946,48519.014252649766,39273.25078311622,36922.27549837383,43066.5172005473
6,300,46,87.28978273613797,6,300,43075.228410033815,3326.6346149351302,7.72284846238966,36193.43513640294,49823.961778061945,42675.463400577704,40435.12269179574,45799.06674097482
6,300,46,87.28978273613797,7,350,45905.12333583994,3285.7948057695194,7.1577953984150815,33317.23586578496,52677.46276311665,45999.68081021332,43772.76595027163,48440.57196396966
6,300,46,87.28978273613797,8,400,48733.2833048504,2749.6861486854077,5.642316630884036,36767.23586578496,54623.961778061945,48624.22410695535,47222.76595027163,50452.748611959534
6,300,46,87.28978273613797,9,450,51176.760688635346,2721.9068998743014,5.318638505540947,40217.23586578496,57023.961778061945,50974.61571389412,49645.15596014634,52705.307290959994
6,300,46,87.28978273613797,10,500,53678.59127367553,2641.0107610373266,4.9200448416620475,43667.23586578496,59423.961778061945,53606.21475169422,51971.04355316796,55105.307290959994
6,300,47,69.11733001006077,1,50,27591.249379624915,3582.281697683747,12.983397918649981,18075.199823507613,34506.84395097543,27808.96712290519,25430.422967308503,29627.402357512216
6,300,47,69.11733001006077,2,100,30731.46102579153,3766.6570032285,12.256680540073623,20901.798908947978,37956.84395097543,30801.295585842534,28257.206739080528,33237.847896906096
6,300,47,69.11733001006077,3,150,34179.21185973864,3808.160438091795,11.141744443140928,24076.798908947978,42531.84395097543,34180.270508875445,31926.5943038522,36726.21733790869
6,300,47,69.11733001006077,4,200,37712.45799795427,3740.9391992809296,9.91963769501277,27251.798908947978,47177.0157847788,37630.270508875445,35543.453648780356,40176.61698262082
6,300,47,69.11733001006077,5,250,41168.38209773401,3758.6182440973002,9.129866301702885,30679.921034741026,49577.0157847788,40897.000156762675,39041.47179222217,43602.09297698506
